time_s,radius_cm,numerical,series,absolute_error
6.000000000000000000e+01,1.900000000000000133e+00,2.521701778476945321e+00,2.521701770672598819e+00,7.804346502382486506e-09
6.000000000000000000e+01,2.000000000000000000e+00,2.313979585666468441e+00,2.313979548870782832e+00,3.679568560954749046e-08
1.000000000000000000e+02,0.000000000000000000e+00,2.549999999999999822e+00,2.550000000000017142e+00,1.731947918415244203e-14
1.000000000000000000e+02,1.000000000000000056e-01,2.549999999999999822e+00,2.550000000000010481e+00,1.065814103640150279e-14
1.000000000000000000e+02,2.000000000000000111e-01,2.549999999999999822e+00,2.550000000000006928e+00,7.105427357601001859e-15
1.000000000000000000e+02,3.000000000000000444e-01,2.549999999999999822e+00,2.550000000000010036e+00,1.021405182655144017e-14
1.000000000000000000e+02,4.000000000000000222e-01,2.549999999999999822e+00,2.550000000000010925e+00,1.110223024625156540e-14
1.000000000000000000e+02,5.000000000000000000e-01,2.549999999999999822e+00,2.550000000000005596e+00,5.773159728050814010e-15
1.000000000000000000e+02,6.000000000000000888e-01,2.549999999999999822e+00,2.550000000000003375e+00,3.552713678800500929e-15
1.000000000000000000e+02,7.000000000000000666e-01,2.549999999999999822e+00,2.550000000000003819e+00,3.996802888650563546e-15
1.000000000000000000e+02,8.000000000000000444e-01,2.549999999999999822e+00,2.549999999999999822e+00,0.000000000000000000e+00
1.000000000000000000e+02,9.000000000000000222e-01,2.549999999999999378e+00,2.549999999999997158e+00,2.220446049250313081e-15
1.000000000000000000e+02,1.000000000000000000e+00,2.549999999999999378e+00,2.549999999999997158e+00,2.220446049250313081e-15
1.000000000000000000e+02,1.100000000000000089e+00,2.550000000000000266e+00,2.549999999999995826e+00,4.440892098500626162e-15
1.000000000000000000e+02,1.200000000000000178e+00,2.550000000000000266e+00,2.549999999999995381e+00,4.884981308350688778e-15
1.000000000000000000e+02,1.300000000000000044e+00,2.549999999999872813e+00,2.549999999999867484e+00,5.329070518200751394e-15
1.000000000000000000e+02,1.400000000000000133e+00,2.549999999882512025e+00,2.549999999882517798e+00,5.773159728050814010e-15
1.000000000000000000e+02,1.500000000000000000e+00,2.549999958534353794e+00,2.549999958535424494e+00,1.070699084948500968e-12
1.000000000000000000e+02,1.600000000000000089e+00,2.549994344336097729e+00,2.549994344392729761e+00,5.663203239691938506e-11
