time_s,radius_cm,numerical,series,absolute_error
3.000000000000000000e+01,1.400000000000000133e+00,2.805805039232118148e+01,2.805805039126274991e+01,1.058431564615602838e-09
3.000000000000000000e+01,1.500000000000000000e+00,2.812087923192539662e+01,2.812087923226062358e+01,3.352269573042576667e-10
3.000000000000000000e+01,1.600000000000000089e+00,2.823335229012503333e+01,2.823335229307025429e+01,2.945220956007688073e-09
3.000000000000000000e+01,1.700000000000000178e+00,2.841878920410611542e+01,2.841878921070427566e+01,6.598160240400829935e-09
3.000000000000000000e+01,1.800000000000000044e+00,2.870104224020972694e+01,2.870104225055209923e+01,1.034237229191603546e-08
3.000000000000000000e+01,1.900000000000000133e+00,2.909887061972128564e+01,2.909887063225266601e+01,1.253138037782264291e-08
3.000000000000000000e+01,2.000000000000000000e+00,2.962009802118776136e+01,2.962009803285783960e+01,1.167007823710264347e-08
6.000000000000000000e+01,0.000000000000000000e+00,2.800006392466974958e+01,2.800006392464547389e+01,2.427569256724382285e-11
6.000000000000000000e+01,1.000000000000000056e-01,2.800008183114569604e+01,2.800008183111445703e+01,3.123901137769280467e-11
6.000000000000000000e+01,2.000000000000000111e-01,2.800014768619268324e+01,2.800014768613718275e+01,5.550049309022142552e-11
6.000000000000000000e+01,3.000000000000000444e-01,2.800030457210186086e+01,2.800030457199527234e+01,1.065885157913726289e-10
6.000000000000000000e+01,4.000000000000000222e-01,2.800064879306868804e+01,2.800064879287102926e+01,1.976587782337446697e-10
6.000000000000000000e+01,5.000000000000000000e-01,2.800137450329292577e+01,2.800137450295251185e+01,3.404139192753063980e-10
6.000000000000000000e+01,6.000000000000000888e-01,2.800285169122381390e+01,2.800285169068640556e+01,5.374083400511153741e-10
6.000000000000000000e+01,7.000000000000000666e-01,2.800575148753497601e+01,2.800575148676105286e+01,7.739231477899011225e-10
6.000000000000000000e+01,8.000000000000000444e-01,2.801123233530535117e+01,2.801123233429203196e+01,1.013319206322194077e-09
6.000000000000000000e+01,9.000000000000000222e-01,2.802119371590792340e+01,2.802119371470911346e+01,1.198809940206047031e-09
6.000000000000000000e+01,1.000000000000000000e+00,2.803858787244754325e+01,2.803858787118664964e+01,1.260893611743085785e-09
6.000000000000000000e+01,1.100000000000000089e+00,2.806775322076718382e+01,2.806775321964164505e+01,1.125538773294465500e-09
6.000000000000000000e+01,1.200000000000000178e+00,2.811469907623437336e+01,2.811469907551539649e+01,7.189768780335725751e-10
6.000000000000000000e+01,1.300000000000000044e+00,2.818723918656823457e+01,2.818723918659519256e+01,2.695799139473820105e-11
6.000000000000000000e+01,1.400000000000000133e+00,2.829485609464858697e+01,2.829485609580489225e+01,1.156305273752877838e-09
