time_s,location,rho,cp,k,D
232920.0,surface,656.6727660389458,1585.5633244903888,0.228828239512554,2.8651508732121806e-12
232980.0,surface,656.6726390107694,1585.5608716630659,0.22882789884209245,2.8646800793077683e-12
233040.0,surface,656.6725120809833,1585.558420730968,0.22882755843485666,2.8642097094280837e-12
233100.0,surface,656.6723852494814,1585.5559716920627,0.22882721829056427,2.8637397630381278e-12
233160.0,surface,656.6722585161583,1585.5535245443195,0.2288268784089333,2.8632702396037444e-12
233220.0,surface,656.6721318809082,1585.5510792857115,0.22882653878968215,2.8628011385916475e-12
233280.0,surface,656.6720053436258,1585.548635914214,0.2288261994325297,2.862332459469412e-12
233340.0,surface,656.6718789042059,1585.5461944278047,0.2288258603371951,2.861864201705472e-12
233400.0,surface,656.6717525625432,1585.5437548244652,0.22882552150339794,2.86139636476913e-12
233460.0,surface,656.6716263185331,1585.541317102179,0.22882518293085818,2.8609289481305143e-12
233520.0,surface,656.6715001720704,1585.5388812589324,0.22882484461929617,2.8604619512606402e-12
233580.0,surface,656.6713741230506,1585.536447292715,0.22882450656843262,2.8599953736313785e-12
233640.0,surface,656.671248171369,1585.5340152015183,0.22882416877798867,2.8595292147154235e-12
233700.0,surface,656.6711223169215,1585.5315849833376,0.22882383124768574,2.8590634739863323e-12
233760.0,surface,656.6709965596036,1585.5291566361695,0.22882349397724577,2.858598150918515e-12
233820.0,surface,656.6708708993114,1585.526730158015,0.22882315696639097,2.8581332449872224e-12
233880.0,surface,656.6707453359406,1585.5243055468763,0.22882282021484393,2.857668755668555e-12
233940.0,surface,656.6706198693877,1585.5218828007596,0.22882248372232772,2.857204682439453e-12
234000.0,surface,656.6704944995489,1585.5194619176727,0.22882214748856564,2.8567410247777053e-12
234060.0,surface,656.6703692263206,1585.5170428956267,0.2288218115132815,2.856277782161916e-12
234120.0,surface,656.6702440495994,1585.5146257326357,0.22882147579619938,2.8558149540715572e-12
234180.0,surface,656.6701189692823,1585.512210426716,0.22882114033704387,2.855352539986926e-12
234240.0,surface,656.6699939852658,1585.5097969758863,0.22882080513553973,2.8548905393891538e-12
234300.0,surface,656.6698690974471,1585.5073853781687,0.22882047019141233,2.8544289517601933e-12
234360.0,surface,656.6697443057234,1585.504975631588,0.2288201355043872,2.853967776582842e-12
234420.0,surface,656.669619609992,1585.5025677341707,0.22881980107419037,2.8535070133407494e-12
234480.0,surface,656.6694950101502,1585.5001616839475,0.22881946690054825,2.8530466615183514e-12
234540.0,surface,656.6693705060957,1585.4977574789502,0.2288191329831875,2.8525867206009273e-12
234600.0,surface,656.6692460977263,1585.4953551172146,0.22881879932183535,2.8521271900745923e-12
234660.0,surface,656.6691217849396,1585.492954596778,0.22881846591621915,2.8516680694262714e-12
234720.0,surface,656.6689975676338,1585.4905559156814,0.22881813276606686,2.8512093581437244e-12
