time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,1.103515625000000069e-02,2.800005338536631783e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.113281250000000035e-02,2.800005338681647160e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.123046875000000000e-02,2.800005338827940093e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.132812500000000139e-02,2.800005338975513425e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.142578125000000104e-02,2.800005339124365733e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.152343750000000069e-02,2.800005339274497018e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.162109375000000035e-02,2.800005339425907991e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.171875000000000000e-02,2.800005339578599006e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.181640624999999965e-02,2.800005339732568999e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.191406249999999931e-02,2.800005339887819034e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.201171875000000069e-02,2.800005340044348756e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.210937500000000035e-02,2.800005340202156390e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.220703125000000000e-02,2.800005340361245487e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.230468749999999965e-02,2.800005340521613917e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.240234374999999931e-02,2.800005340683262034e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.250000000000000069e-02,2.800005340846189128e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.259765625000000035e-02,2.800005341010397686e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.269531250000000000e-02,2.800005341175884865e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.279296875000000139e-02,2.800005341342653153e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.289062500000000104e-02,2.800005341510700418e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.298828125000000069e-02,2.800005341680028081e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.308593750000000035e-02,2.800005341850635787e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.318359375000000000e-02,2.800005342022524601e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.328125000000000139e-02,2.800005342195692748e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.337890625000000104e-02,2.800005342370141292e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.347656250000000069e-02,2.800005342545869524e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.357421875000000208e-02,2.800005342722878154e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.367187500000000173e-02,2.800005342901168248e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.376953125000000139e-02,2.800005343080738029e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.386718750000000104e-02,2.800005343261588919e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.396484375000000069e-02,2.800005343443719852e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.406250000000000208e-02,2.800005343627131182e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.416015624999999827e-02,2.800005343811823622e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.425781249999999965e-02,2.800005343997797169e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.435546874999999931e-02,2.800005344185050404e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.445312499999999896e-02,2.800005344373584748e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.455078124999999861e-02,2.800005344563400556e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.464843750000000000e-02,2.800005344754496761e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.474609374999999965e-02,2.800005344946873720e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.484374999999999931e-02,2.800005345140532853e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.494140624999999896e-02,2.800005345335473095e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.503906250000000035e-02,2.800005345531692669e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.513671875000000000e-02,2.800005345729194772e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.523437499999999965e-02,2.800005345927978340e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.533203124999999931e-02,2.800005346128042660e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.542968750000000069e-02,2.800005346329388445e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.552734375000000035e-02,2.800005346532015693e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.562500000000000000e-02,2.800005346735925116e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.572265625000000139e-02,2.800005346941115292e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.582031249999999931e-02,2.800005347147586932e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.591796875000000069e-02,2.800005347355341101e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.601562500000000208e-02,2.800005347564376379e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.611328125000000000e-02,2.800005347774693476e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.621093750000000139e-02,2.800005347986292392e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.630859374999999931e-02,2.800005348199173483e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.640625000000000069e-02,2.800005348413336037e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.650390625000000208e-02,2.800005348628781476e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.660156250000000000e-02,2.800005348845507669e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.669921875000000139e-02,2.800005349063517457e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.679687500000000278e-02,2.800005349282809064e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.689453125000000069e-02,2.800005349503382490e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.699218750000000208e-02,2.800005349725239157e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.708984375000000000e-02,2.800005349948377287e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.718749999999999792e-02,2.800005350172797947e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.728515624999999931e-02,2.800005350398501136e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.738281250000000069e-02,2.800005350625487566e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.748046874999999861e-02,2.800005350853755814e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.757812500000000000e-02,2.800005351083306948e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.767578124999999792e-02,2.800005351314141322e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.777343749999999931e-02,2.800005351546258936e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.787109375000000069e-02,2.800005351779658369e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.796874999999999861e-02,2.800005352014341398e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.806640625000000000e-02,2.800005352250307666e+01,2.549999999999999822e+00
