time_s,center_temperature_C,surface_temperature_C,mean_temperature_C,center_moisture,surface_moisture,mean_moisture
4.490000000000000000e+02,2.818253952119470540e+01,2.948099491249426407e+01,2.875398026277856189e+01,2.549999999999999378e+00,1.954921485080191035e+00,2.473944021491542244e+00
4.500000000000000000e+02,2.818391002525102351e+01,2.948498156525671376e+01,2.875689419682464276e+01,2.549999999999999822e+00,1.954352479514945173e+00,2.473789491425082421e+00
4.510000000000000000e+02,2.818528638356377414e+01,2.948896262821195435e+01,2.875980934196762107e+01,2.549999999999999378e+00,1.953784291153904729e+00,2.473635007473028224e+00
4.520000000000000000e+02,2.818666859555413495e+01,2.949293827233586285e+01,2.876272570466092660e+01,2.549999999999999378e+00,1.953216917208193015e+00,2.473480569570114085e+00
4.530000000000000000e+02,2.818805666055326498e+01,2.949690866023209779e+01,2.876564329116268937e+01,2.549999999999999822e+00,1.952650354904753582e+00,2.473326177651297808e+00
4.540000000000000000e+02,2.818945057780509345e+01,2.950087394676050323e+01,2.876856210754491983e+01,2.549999999999999378e+00,1.952084601486202331e+00,2.473171831651758801e+00
4.550000000000000000e+02,2.819085034646901633e+01,2.950483427960990213e+01,2.877148215970230538e+01,2.549999999999999822e+00,1.951519654210687627e+00,2.473017531506895850e+00
4.560000000000000000e+02,2.819225596562237612e+01,2.950878979981882821e+01,2.877440345336021821e+01,2.549999999999999378e+00,1.950955510351759514e+00,2.472863277152326678e+00
4.570000000000000000e+02,2.819366743426279953e+01,2.951274064224785931e+01,2.877732599408234648e+01,2.549999999999999822e+00,1.950392167198220283e+00,2.472709068523887943e+00
4.580000000000000000e+02,2.819508475131037528e+01,2.951668693600353066e+01,2.878024978727759020e+01,2.549999999999999378e+00,1.949829622054008560e+00,2.472554905557629024e+00
4.590000000000000000e+02,2.819650791560966852e+01,2.952062880482299789e+01,2.878317483820672606e+01,2.549999999999999822e+00,1.949267872238058974e+00,2.472400788189816900e+00
4.600000000000000000e+02,2.819793692593139411e+01,2.952456636742267904e+01,2.878610115198833341e+01,2.550000000000000266e+00,1.948706915084181590e+00,2.472246716356933494e+00
4.610000000000000000e+02,2.819937178097407937e+01,2.952849973782684856e+01,2.878902873360473080e+01,2.549999999999998934e+00,1.948146747940934009e+00,2.472092689995669890e+00
4.620000000000000000e+02,2.820081247936524704e+01,2.953242902563965799e+01,2.879195758790704929e+01,2.549999999999998934e+00,1.947587368171501243e+00,2.471938709042933002e+00
4.630000000000000000e+02,2.820225901966241366e+01,2.953635433631769303e+01,2.879488771962033411e+01,2.550000000000000266e+00,1.947028773153572700e+00,2.471784773435835803e+00
4.640000000000000000e+02,2.820371140035384272e+01,2.954027577141768646e+01,2.879781913334826982e+01,2.549999999999999822e+00,1.946470960279231166e+00,2.471630883111704424e+00
4.650000000000000000e+02,2.820516961985900650e+01,2.954419342881983113e+01,2.880075183357761404e+01,2.549999999999999378e+00,1.945913926954826678e+00,2.471477038008069282e+00
4.660000000000000000e+02,2.820663367652881348e+01,2.954810740294128024e+01,2.880368582468250338e+01,2.549999999999999822e+00,1.945357670600866840e+00,2.471323238062672623e+00
4.670000000000000000e+02,2.820810356864532764e+01,2.955201778491952425e+01,2.880662111092820510e+01,2.550000000000000711e+00,1.944802188651905350e+00,2.471169483213456086e+00
4.680000000000000000e+02,2.820957929442133505e+01,2.955592466279090047e+01,2.880955769647498954e+01,2.549999999999999378e+00,1.944247478556424547e+00,2.471015773398571813e+00
4.690000000000000000e+02,2.821106085199957647e+01,2.955982812165549589e+01,2.881249558538162958e+01,2.549999999999999822e+00,1.943693537776731484e+00,2.470862108556372227e+00
4.700000000000000000e+02,2.821254823945163892e+01,2.956372824382820852e+01,2.881543478160873306e+01,2.550000000000000266e+00,1.943140363788846470e+00,2.470708488625413146e+00
4.710000000000000000e+02,2.821404145477664116e+01,2.956762510898354890e+01,2.881837528902197221e+01,2.549999999999999378e+00,1.942587954082394930e+00,2.470554913544451558e+00
4.720000000000000000e+02,2.821554049589944313e+01,2.957151879428307950e+01,2.882131711139509633e+01,2.549999999999999822e+00,1.942036306160502823e+00,2.470401383252446070e+00
4.730000000000000000e+02,2.821704536066865643e+01,2.957540937449914509e+01,2.882426025241273493e+01,2.549999999999999822e+00,1.941485417539693836e+00,2.470247897688551575e+00
4.740000000000000000e+02,2.821855604685443453e+01,2.957929692212973549e+01,2.882720471567322207e+01,2.549999999999999822e+00,1.940935285749781469e+00,2.470094456792123694e+00
4.750000000000000000e+02,2.822007255214588284e+01,2.958318150750459452e+01,2.883015050469113660e+01,2.549999999999999822e+00,1.940385908333772225e+00,2.469941060502714336e+00
4.760000000000000000e+02,2.822159487414840484e+01,2.958706319888742442e+01,2.883309762289982459e+01,2.549999999999999822e+00,1.939837282847760580e+00,2.469787708760072142e+00
4.770000000000000000e+02,2.822312301038060056e+01,2.959094206256696324e+01,2.883604607365376538e+01,2.549999999999999378e+00,1.939289406860831289e+00,2.469634401504139376e+00
4.780000000000000000e+02,2.822465695827101229e+01,2.959481816294590217e+01,2.883899586023079564e+01,2.550000000000000266e+00,1.938742277954961013e+00,2.469481138675052811e+00
4.790000000000000000e+02,2.822619671515487738e+01,2.959869156262362111e+01,2.884194698583432270e+01,2.549999999999999378e+00,1.938195893724920849e+00,2.469327920213141958e+00
4.800000000000000000e+02,2.822774227827049387e+01,2.960256232247459707e+01,2.884489945359534602e+01,2.549999999999999822e+00,1.937650251778176624e+00,2.469174746058929948e+00
4.810000000000000000e+02,2.822929364475977465e+01,2.960653937486148379e+01,2.884785622510475989e+01,2.549999999999999822e+00,1.937105357232094871e+00,2.469021616186252377e+00
4.820000000000000000e+02,2.823085081164727583e+01,2.961060257818806107e+01,2.885082017828335665e+01,2.549999999999999822e+00,1.936561206381133049e+00,2.468868530568646857e+00
4.830000000000000000e+02,2.823241377586209566e+01,2.961472015495464305e+01,2.885379123548850799e+01,2.549999999999999822e+00,1.936017794691134108e+00,2.468715489146855013e+00
4.840000000000000000e+02,2.823398253421668969e+01,2.961888080957292857e+01,2.885676934031124219e+01,2.549999999999999822e+00,1.935475119041949466e+00,2.468562491861869379e+00
4.850000000000000000e+02,2.823555708340713011e+01,2.962307804079916096e+01,2.885975444633631071e+01,2.549999999999999822e+00,1.934933176654000331e+00,2.468409538654920965e+00
4.860000000000000000e+02,2.823713742000906279e+01,2.962730748125890656e+01,2.886274651338208486e+01,2.549999999999999822e+00,1.934391964906051475e+00,2.468256629467454388e+00
4.870000000000000000e+02,2.823872354047361810e+01,2.963156593944545847e+01,2.886574550563870645e+01,2.549999999999999822e+00,1.933851481269532879e+00,2.468103764241119880e+00
4.880000000000000000e+02,2.824031544112338210e+01,2.963585095465080599e+01,2.886875139058003370e+01,2.549999999999999822e+00,1.933311723277976402e+00,2.467950942917767065e+00
4.890000000000000000e+02,2.824191311814838201e+01,2.964016055679485362e+01,2.887176413825972077e+01,2.549999999999999822e+00,1.932772688510476344e+00,2.467798165439442748e+00
